jump,attack,run,status,max_y,cleared,spawn_ok,t_max,launch,y_end,x_end,z_end,dz,n,error
45,74,1,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
45,74,2,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
45,74,3,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
45,74,4,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
45,74,5,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
45,74,6,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
45,74,7,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
45,74,8,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
45,74,9,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
45,74,10,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
45,75,1,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
45,75,2,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
45,75,3,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
45,75,4,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
45,75,5,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
45,75,6,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
45,75,7,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
45,75,8,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
45,75,9,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
45,75,10,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
45,76,1,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
45,76,2,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
45,76,3,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
45,76,4,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
45,76,5,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
45,76,6,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
45,76,7,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
45,76,8,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
45,76,9,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
45,76,10,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
46,74,1,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
46,74,2,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
46,74,3,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
46,74,4,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
46,74,5,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
46,74,6,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
46,74,7,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
46,74,8,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
46,74,9,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
46,74,10,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
46,75,1,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
46,75,2,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
46,75,3,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
46,75,4,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
46,75,5,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
46,75,6,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
46,75,7,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
46,75,8,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
46,75,9,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
46,75,10,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
46,76,1,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
46,76,2,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
46,76,3,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
46,76,4,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
46,76,5,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
46,76,6,,,0,,,,,,,,,"POST /script/run → HTTP 400: {""error"":""commands[2]: input is empty""}"
